signal_date,entry_time,exit_time,fill_date,symbol,side,entry_price,exit_price,fill_price,intended_qty,quantity,pnl,cost_breakdown
2015-02-02,2015-02-03,2015-02-03,2015-02-03,000709,BUY,3.32166,3.32166,3.32166,30395.0,30300.0,-34.0385779836,"{'commission': 25.1615745, 'stamp_duty': 0.0, 'transfer_fee': 3.4320387618, 'regulator_fee': 5.4449647218}"
2015-02-09,2015-02-03,2015-02-10,2015-02-10,000709,SELL,3.32166,3.228385,3.228385,30300.0,25078.0,-2407.0123281949514,"{'commission': 20.2403597575, 'stamp_duty': 40.480719515, 'transfer_fee': 2.760785070923, 'regulator_fee': 4.380013851523}"
2015-02-16,2015-02-17,2015-02-17,2015-02-17,000895,BUY,32.83641,32.83641,32.83641,1015.0,1000.0,-11.105273862,"{'commission': 8.2091025, 'stamp_duty': 0.0, 'transfer_fee': 1.1197215810000003, 'regulator_fee': 1.7764497810000002}"
2015-03-02,2015-02-03,2015-03-03,2015-03-03,000709,SELL,3.32166,3.6181900000000002,3.6181900000000002,55378.0,5222.0,1380.531096937677,"{'commission': 50.092031455000004, 'stamp_duty': 100.18406291000001, 'transfer_fee': 6.832553090462001, 'regulator_fee': 10.839915606862}"
2015-03-02,2015-03-03,2015-03-03,2015-03-03,000538,BUY,62.61129,62.61129,62.61129,531.0,500.0,-10.587569139,"{'commission': 7.82641125, 'stamp_duty': 0.0, 'transfer_fee': 1.0675224945, 'regulator_fee': 1.6936353944999998}"
2015-03-09,2015-03-03,2015-03-10,2015-03-10,000538,SELL,62.61129,62.278845000000004,62.278845000000004,500.0,500.0,-192.32356393949638,"{'commission': 7.7848556250000005, 'stamp_duty': 15.569711250000001, 'transfer_fee': 1.0618543072500002, 'regulator_fee': 1.68464275725}"
2015-03-09,2015-02-17,2015-03-10,2015-03-10,000895,SELL,32.83641,32.7836,32.7836,1000.0,1000.0,-80.28921352000091,"{'commission': 8.1959, 'stamp_duty': 16.3918, 'transfer_fee': 1.11792076, 'regulator_fee': 1.7735927599999999}"
2015-03-16,2015-03-17,2015-03-17,2015-03-17,000651,BUY,41.0205,41.0205,41.0205,811.0,800.0,-11.098506480000001,"{'commission': 8.2041, 'stamp_duty': 0.0, 'transfer_fee': 1.1190392400000002, 'regulator_fee': 1.77536724}"
2015-03-23,2015-03-17,2015-03-24,2015-03-24,000651,SELL,41.0205,42.83857,42.83857,800.0,800.0,1425.730168500799,"{'commission': 8.567714, 'stamp_duty': 17.135428, 'transfer_fee': 1.1686361896000002, 'regulator_fee': 1.8540533096}"
2015-03-23,2015-03-24,2015-03-24,2015-03-24,000786,BUY,32.396190000000004,32.396190000000004,32.396190000000004,1547.0,1500.0,-16.434587187,"{'commission': 12.148571250000002, 'stamp_duty': 0.0, 'transfer_fee': 1.6570651185000003, 'regulator_fee': 2.6289508185000003}"
2015-03-30,2015-03-24,2015-03-31,2015-03-31,000786,SELL,32.396190000000004,33.033474999999996,33.033474999999996,1500.0,1500.0,914.3945118824872,"{'commission': 12.387553124999998, 'stamp_duty': 24.775106249999997, 'transfer_fee': 1.68966224625, 'regulator_fee': 2.6806664962499998}"
2015-04-07,2015-04-08,2015-04-08,2015-04-08,000858,BUY,24.2121,24.2121,24.2121,1379.0,1300.0,-10.645091886,"{'commission': 7.8689325, 'stamp_duty': 0.0, 'transfer_fee': 1.073322393, 'regulator_fee': 1.702836993}"
2015-04-07,2015-04-08,2015-04-08,2015-04-08,000876,BUY,22.51125,22.51125,22.51125,1527.0,1500.0,-11.419957125,"{'commission': 8.44171875, 'stamp_duty': 0.0, 'transfer_fee': 1.1514504375, 'regulator_fee': 1.8267879375}"
2015-04-14,2015-04-08,2015-04-15,2015-04-15,000876,SELL,22.51125,22.50874,22.50874,1500.0,1500.0,-32.06523880200135,"{'commission': 8.440777500000001, 'stamp_duty': 16.881555000000002, 'transfer_fee': 1.1513220510000002, 'regulator_fee': 1.826584251}"
2015-04-14,2015-04-15,2015-04-15,2015-04-15,000568,BUY,25.462725,25.462725,25.462725,1312.0,1300.0,-11.194941673499997,"{'commission': 8.275385624999998, 'stamp_duty': 0.0, 'transfer_fee': 1.1287625992499999, 'regulator_fee': 1.7907934492499997}"
2015-04-21,2015-04-08,2015-04-22,2015-04-22,000858,SELL,24.2121,28.08595,28.08595,1300.0,1300.0,5005.400863723001,"{'commission': 9.12793375, 'stamp_duty': 18.2558675, 'transfer_fee': 1.2450501635000002, 'regulator_fee': 1.9752848635}"
2015-04-21,2015-04-15,2015-04-22,2015-04-22,000568,SELL,25.462724999999995,27.096445,27.096445,1300.0,1300.0,2094.310087741305,"{'commission': 8.806344625, 'stamp_duty': 17.61268925, 'transfer_fee': 1.20118540685, 'regulator_fee': 1.90569297685}"
2015-04-21,2015-04-22,2015-04-22,2015-04-22,000878,BUY,17.10855,17.10855,17.10855,1982.0,1900.0,-10.993612059,"{'commission': 8.12656125, 'stamp_duty': 0.0, 'transfer_fee': 1.1084629545000002, 'regulator_fee': 1.7585878545000002}"
2015-04-21,2015-04-22,2015-04-22,2015-04-22,000063,BUY,28.6143,28.6143,28.6143,1182.0,1100.0,-10.645091886,"{'commission': 7.8689325, 'stamp_duty': 0.0, 'transfer_fee': 1.073322393, 'regulator_fee': 1.702836993}"
2015-04-28,2015-04-22,2015-04-29,2015-04-29,000878,SELL,17.10855,17.301344999999998,17.301344999999998,1900.0,1900.0,338.7567239798938,"{'commission': 8.218138875, 'stamp_duty': 16.43627775, 'transfer_fee': 1.1209541425499998, 'regulator_fee': 1.7784052525499998}"
2015-04-28,2015-04-22,2015-04-29,2015-04-29,000063,SELL,28.6143,28.00599,28.00599,1100.0,1100.0,-694.9630828997994,"{'commission': 7.70164725, 'stamp_duty': 15.4032945, 'transfer_fee': 1.0505046849000002, 'regulator_fee': 1.6666364649}"
2015-04-28,2015-04-29,2015-04-29,2015-04-29,000625,BUY,25.31265,25.31265,25.31265,3910.0,3900.0,-33.386879097000005,"{'commission': 24.679833750000004, 'stamp_duty': 0.0, 'transfer_fee': 3.3663293235000005, 'regulator_fee': 5.340716023500001}"
2015-05-06,2015-04-29,2015-05-07,2015-05-07,000625,SELL,25.31265,23.038475000000002,23.038475000000002,3900.0,3900.0,-8944.594814005499,"{'commission': 22.462513125, 'stamp_duty': 44.92502625, 'transfer_fee': 3.06388679025, 'regulator_fee': 4.86088784025}"
2015-05-27,2015-05-28,2015-05-28,2015-05-28,000725,BUY,4.952475,4.952475,4.952475,6738.0,6700.0,-11.222011201499999,"{'commission': 8.295395625, 'stamp_duty': 0.0, 'transfer_fee': 1.13149196325, 'regulator_fee': 1.79512361325}"
2015-06-03,2015-05-28,2015-06-04,2015-06-04,000725,SELL,4.952475,5.21739,5.21739,6700.0,6700.0,1745.6299508034015,"{'commission': 8.73912825, 'stamp_duty': 17.4782565, 'transfer_fee': 1.1920170933, 'regulator_fee': 1.8911473533}"
2015-06-03,2015-06-04,2015-06-04,2015-06-04,000333,BUY,39.0195,39.0195,39.0195,853.0,800.0,-10.557115920000001,"{'commission': 7.8039000000000005, 'stamp_duty': 0.0, 'transfer_fee': 1.0644519600000002, 'regulator_fee': 1.6887639600000002}"
2015-06-10,2015-06-04,2015-06-11,2015-06-11,000333,SELL,39.0195,38.750615,38.750615,800.0,800.0,-241.09261239439792,"{'commission': 7.750123, 'stamp_duty': 15.500246, 'transfer_fee': 1.0571167772, 'regulator_fee': 1.6771266172000001}"
2015-06-10,2015-06-11,2015-06-11,2015-06-11,000938,BUY,100.59027,100.59027,100.59027,547.0,100.0,-5.8872061814,"{'commission': 5.0, 'stamp_duty': 0.0, 'transfer_fee': 0.3430128207, 'regulator_fee': 0.5441933607}"
2015-06-17,2015-06-11,2015-06-18,2015-06-18,000938,SELL,100.59027,133.623155,133.623155,100.0,100.0,3290.428786022899,"{'commission': 5.0, 'stamp_duty': 6.681157750000001, 'transfer_fee': 0.45565495855000004, 'regulator_fee': 0.72290126855}"
