signal_date,entry_time,exit_time,fill_date,symbol,side,entry_price,exit_price,fill_price,intended_qty,quantity,pnl,cost_breakdown
2015-02-03,2015-02-04,2015-02-04,2015-02-04,000625,BUY,20.59029,20.59029,20.59029,2446.0,2400.0,-16.7127265872,"{'commission': 12.354173999999999, 'stamp_duty': 0.0, 'transfer_fee': 1.6851093336, 'regulator_fee': 2.6734432536}"
2015-02-03,2015-02-04,2015-02-04,2015-02-04,000876,BUY,15.02751,15.02751,15.02751,3326.0,3300.0,-16.771602810599997,"{'commission': 12.397695749999999, 'stamp_duty': 0.0, 'transfer_fee': 1.6910457003, 'regulator_fee': 2.6828613603}"
2015-03-11,2015-03-12,2015-03-12,2015-03-12,000568,BUY,20.99049,20.99049,20.99049,1627.0,1600.0,-11.3583739488,"{'commission': 8.396196, 'stamp_duty': 0.0, 'transfer_fee': 1.1452411344, 'regulator_fee': 1.8169368144}"
2015-03-11,2015-03-12,2015-03-12,2015-03-12,000063,BUY,19.739865,19.739865,19.739865,1717.0,1700.0,-11.349237983100002,"{'commission': 8.389442625000001, 'stamp_duty': 0.0, 'transfer_fee': 1.1443199740500003, 'regulator_fee': 1.8154753840500004}"
2015-04-10,2015-02-04,2015-04-13,2015-04-13,000876,SELL,15.02751,22.3888,22.3888,3300.0,3300.0,24230.328235872003,"{'commission': 18.47076, 'stamp_duty': 36.94152, 'transfer_fee': 2.519411664, 'regulator_fee': 3.9970724639999995}"
2015-04-10,2015-03-12,2015-04-13,2015-04-13,000568,SELL,20.99049,24.397795,24.397795,1600.0,1600.0,5418.967629169596,"{'commission': 9.759117999999999, 'stamp_duty': 19.518235999999998, 'transfer_fee': 1.3311436952, 'regulator_fee': 2.1118731351999998}"
2015-04-10,2015-03-12,2015-04-13,2015-04-13,000063,SELL,19.739865,24.637674999999998,24.637674999999998,1700.0,1700.0,8291.169791385493,"{'commission': 10.471011874999999, 'stamp_duty': 20.942023749999997, 'transfer_fee': 1.4282460197499998, 'regulator_fee': 2.2659269697499997}"
2015-04-10,2015-04-13,2015-04-13,2015-04-13,000709,BUY,4.94247,4.94247,4.94247,6958.0,6900.0,-11.5336491426,"{'commission': 8.52576075, 'stamp_duty': 0.0, 'transfer_fee': 1.1629137663, 'regulator_fee': 1.8449746263}"
2015-04-10,2015-04-13,2015-04-13,2015-04-13,000725,BUY,4.252125,4.252125,4.252125,8107.0,8100.0,-11.6483562675,"{'commission': 8.610553125000001, 'stamp_duty': 0.0, 'transfer_fee': 1.1744794462500001, 'regulator_fee': 1.8633236962500002}"
2015-05-12,2015-04-13,2015-05-13,2015-05-13,000709,SELL,4.942469999999999,5.11744,5.11744,6900.0,6900.0,1177.6958763648067,"{'commission': 8.827584000000002, 'stamp_duty': 17.655168000000003, 'transfer_fee': 1.2040824576000002, 'regulator_fee': 1.9102891776000002}"
